unix,date,open,high,low,close,volume,sma20,sma50
1641024000000,2022-01-01 08:00:00+00:00,47194.73,47228.86,47075.11,47151.37,131.91374,46995.572,nan
1641024900000,2022-01-01 08:15:00+00:00,47151.37,47344.69,47145.05,47305.23,183.98417,47020.376,nan
1641025800000,2022-01-01 08:30:00+00:00,47305.23,47313.91,47166.97,47210.18,109.50519,47037.486,nan
1641026700000,2022-01-01 08:45:00+00:00,47210.18,47260.0,47081.74,47124.82,107.04457,47053.067,nan
1641027600000,2022-01-01 09:00:00+00:00,47124.82,47215.56,47062.77,47205.77,127.12603,47080.9535,nan
1641028500000,2022-01-01 09:15:00+00:00,47205.77,47205.78,47082.06,47094.74,85.76911,47100.283500000005,nan
1641029400000,2022-01-01 09:30:00+00:00,47094.74,47126.85,46933.58,46988.47,221.1526,47112.981,nan
1641030300000,2022-01-01 09:45:00+00:00,46988.46,47143.99,46947.43,47143.98,107.27717,47134.6275,nan
1641031200000,2022-01-01 10:00:00+00:00,47143.98,47298.75,47111.11,47111.12,128.77257,47151.1835,nan
1641032100000,2022-01-01 10:15:00+00:00,47111.11,47111.12,46812.99,46874.25,285.13532,47125.9395,nan
1641033000000,2022-01-01 10:30:00+00:00,46874.26,47017.95,46715.39,46979.5,366.49823,47109.9145,nan
1641033900000,2022-01-01 10:45:00+00:00,46979.5,47081.02,46868.71,46871.08,142.61148,47093.841,nan
1641034800000,2022-01-01 11:00:00+00:00,46871.09,46960.39,46862.41,46925.19,164.2469,47074.7485,nan
1641035700000,2022-01-01 11:15:00+00:00,46925.2,47007.73,46898.97,46956.77,171.41749,47066.069,nan
1641036600000,2022-01-01 11:30:00+00:00,46956.78,46994.24,46819.9,46946.36,218.58084,47055.486,nan
1641037500000,2022-01-01 11:45:00+00:00,46946.36,46978.42,46756.77,46758.87,178.6427,47044.4485,nan
1641038400000,2022-01-01 12:00:00+00:00,46758.87,46992.6,46756.3,46990.62,132.00011,47044.46800000001,nan
1641039300000,2022-01-01 12:15:00+00:00,46990.14,47012.49,46884.87,46959.51,120.00104,47044.463,46930.9418
1641040200000,2022-01-01 12:30:00+00:00,46959.51,47150.48,46941.2,47008.32,222.54846,47040.044,46944.458000000006
1641041100000,2022-01-01 12:45:00+00:00,47008.32,47133.78,47007.01,47074.05,107.60048,47034.01,46958.43059999999
1641042000000,2022-01-01 13:00:00+00:00,47074.05,47150.0,47021.79,47141.5,105.86007,47033.516500000005,46969.04439999999
1641042900000,2022-01-01 13:15:00+00:00,47141.51,47199.67,46983.01,47022.59,148.11585,47019.3845,46976.37359999999
1641043800000,2022-01-01 13:30:00+00:00,47022.59,47095.48,46935.09,47067.11,107.3225,47012.231,46982.376
1641044700000,2022-01-01 13:45:00+00:00,47067.1,47080.12,46967.91,47023.24,92.8457,47007.152,46986.5342
1641045600000,2022-01-01 14:00:00+00:00,47023.24,47066.89,46950.0,46969.74,103.67317,46995.3505,46990.567
1641046500000,2022-01-01 14:15:00+00:00,46969.73,47100.0,46967.54,47024.1,113.55795,46991.8185,46995.4862
1641047400000,2022-01-01 14:30:00+00:00,47024.11,47031.9,46850.18,46904.67,124.59323,46987.628500000006,46996.660200000006
1641048300000,2022-01-01 14:45:00+00:00,46904.67,46965.5,46877.04,46926.22,161.83785,46976.7405,46998.6644
1641049200000,2022-01-01 15:00:00+00:00,46920.01,47009.74,46871.69,46953.79,121.57924,46968.874,47002.222
1641050100000,2022-01-01 15:15:00+00:00,46953.79,47030.0,46920.8,47026.82,82.47188,46976.5025,47006.52300000001
1641051000000,2022-01-01 15:30:00+00:00,47026.83,47491.14,46996.75,47342.13,861.85823,46994.634,47016.8436
1641051900000,2022-01-01 15:45:00+00:00,47342.12,47408.04,47117.09,47219.04,450.0437,47012.032,47025.04140000001
1641052800000,2022-01-01 16:00:00+00:00,47219.04,47461.29,47186.07,47428.34,320.37946,47037.1895,47036.248600000006
1641053700000,2022-01-01 16:15:00+00:00,47428.34,47527.24,47342.42,47480.45,296.91076,47063.3735,47049.5936
1641054600000,2022-01-01 16:30:00+00:00,47480.46,47497.19,47375.65,47421.77,219.15048,47087.144,47065.0682
1641055500000,2022-01-01 16:45:00+00:00,47421.78,47476.99,47253.4,47268.62,213.13849,47112.6315,47076.2778
1641056400000,2022-01-01 17:00:00+00:00,47268.61,47369.0,47238.81,47246.04,149.26952,47125.4025,47086.5082
1641057300000,2022-01-01 17:15:00+00:00,47246.04,47350.0,47241.28,47330.45,108.91746,47143.9495,47098.8962
1641058200000,2022-01-01 17:30:00+00:00,47330.45,47900.0,47325.71,47846.04,697.35462,47185.8355,47120.217
1641059100000,2022-01-01 17:45:00+00:00,47846.03,47954.63,47672.01,47754.48,365.12417,47219.857,47127.724
1641060000000,2022-01-01 18:00:00+00:00,47754.47,47844.97,47660.85,47742.16,226.83378,47249.89,47136.567200000005
1641060900000,2022-01-01 18:15:00+00:00,47742.16,47780.74,47601.01,47637.43,175.79179,47280.632,47145.4648
1641061800000,2022-01-01 18:30:00+00:00,47637.43,47658.64,47420.0,47468.81,290.65106,47300.717,47148.70019999999
1641062700000,2022-01-01 18:45:00+00:00,47468.81,47628.39,47430.0,47560.55,167.48362,47327.5825,47157.304
1641063600000,2022-01-01 19:00:00+00:00,47560.54,47611.84,47489.76,47508.6,160.7495,47354.5255,47164.3156
1641064500000,2022-01-01 19:15:00+00:00,47508.61,47508.61,47338.53,47388.85,194.5852,47372.763,47172.5002
1641065400000,2022-01-01 19:30:00+00:00,47388.84,47414.27,47300.0,47321.34,319.37226,47393.5965,47179.12239999999
1641066300000,2022-01-01 19:45:00+00:00,47321.34,47355.79,47292.72,47329.78,155.96464,47413.7745,47186.5258
1641067200000,2022-01-01 20:00:00+00:00,47329.79,47358.21,47301.01,47322.14,132.7101,47432.192,47191.0346
1641068100000,2022-01-01 20:15:00+00:00,47322.15,47452.55,47250.18,47412.36,150.26913,47451.469,47195.387200000005
1641069000000,2022-01-01 20:30:00+00:00,47412.36,47559.03,47384.6,47393.79,228.2057,47454.052,47200.23560000001
1641069900000,2022-01-01 20:45:00+00:00,47393.78,47468.01,47347.01,47391.82,206.02299,47462.691,47201.9674
1641070800000,2022-01-01 21:00:00+00:00,47391.82,47573.05,47363.97,47509.55,277.01086,47466.7515,47207.95479999999
1641071700000,2022-01-01 21:15:00+00:00,47509.55,47539.2,47340.0,47366.34,150.71611,47461.046,47212.785200000006
1641072600000,2022-01-01 21:30:00+00:00,47366.33,47491.03,47343.42,47445.58,229.45233,47462.2365,47217.5814
1641073500000,2022-01-01 21:45:00+00:00,47445.59,47472.61,47268.79,47319.67,152.03997,47464.789,47222.08
1641074400000,2022-01-01 22:00:00+00:00,47319.66,47370.0,47222.22,47262.69,167.09944,47465.6215,47227.5644
1641075300000,2022-01-01 22:15:00+00:00,47262.7,47422.39,47255.0,47388.27,103.20575,47468.5125,47232.45020000001
1641076200000,2022-01-01 22:30:00+00:00,47388.26,47489.83,47376.72,47448.29,105.17114,47448.625,47239.193600000006
1641077100000,2022-01-01 22:45:00+00:00,47448.29,47490.98,47369.75,47440.74,91.00228,47432.938,47250.5234
1641078000000,2022-01-01 23:00:00+00:00,47440.74,47455.29,47277.77,47334.34,126.07666,47412.547,47257.620200000005
1641078900000,2022-01-01 23:15:00+00:00,47334.33,47488.0,47328.24,47428.83,104.14312,47402.117,47268.7752
1641079800000,2022-01-01 23:30:00+00:00,47428.91,47585.93,47370.58,47498.17,118.01271,47403.585,47280.234800000006
1641080700000,2022-01-01 23:45:00+00:00,47498.17,47814.0,47492.69,47722.65,398.05705,47411.69,47295.5524
1641081600000,2022-01-02 00:00:00+00:00,47722.66,47750.0,47463.63,47517.62,294.05935,47412.141,47306.977600000006
1641082500000,2022-01-02 00:15:00+00:00,47517.63,47578.79,47381.12,47544.7,324.85868,47419.9335,47322.6942
1641083400000,2022-01-02 00:30:00+00:00,47544.7,47699.39,47491.43,47638.95,266.9197,47435.814,47335.6608
1641084300000,2022-01-02 00:45:00+00:00,47641.55,47700.0,47575.69,47625.3,196.67044,47450.59,47348.9766
1641085200000,2022-01-02 01:00:00+00:00,47625.29,47641.83,47425.65,47442.34,138.49194,47456.6,47357.65699999999
1641086100000,2022-01-02 01:15:00+00:00,47442.34,47504.92,47412.89,47455.23,121.11451,47458.7435,47365.280600000006
1641087000000,2022-01-02 01:30:00+00:00,47455.22,47485.23,47315.53,47388.64,116.61685,47458.486,47370.2234
1641087900000,2022-01-02 01:45:00+00:00,47388.64,47404.17,47315.38,47377.97,89.5303,47457.7935,47377.331000000006
1641088800000,2022-01-02 02:00:00+00:00,47377.97,47438.08,47325.81,47436.78,99.5594,47454.155,47384.72439999999
1641089700000,2022-01-02 02:15:00+00:00,47438.08,47449.56,47310.0,47326.09,110.00959,47452.1425,47390.78140000001
1641090600000,2022-01-02 02:30:00+00:00,47326.08,47439.21,47275.5,47370.41,151.72986,47448.384000000005,47398.7948
1641091500000,2022-01-02 02:45:00+00:00,47370.4,47427.86,47357.06,47370.5,91.0936,47450.9255,47405.7228
1641092400000,2022-01-02 03:00:00+00:00,47370.49,47393.45,47283.33,47295.8,83.40265,47452.581,47413.5454
1641093300000,2022-01-02 03:15:00+00:00,47295.81,47389.48,47269.47,47382.71,90.12151,47452.303,47422.675200000005
1641094200000,2022-01-02 03:30:00+00:00,47382.71,47467.11,47373.94,47406.18,93.06283,47450.1975,47431.723
1641095100000,2022-01-02 03:45:00+00:00,47406.18,47415.0,47282.82,47329.47,120.66603,47444.634000000005,47437.776
1641096000000,2022-01-02 04:00:00+00:00,47329.47,47415.73,47294.29,47381.63,117.25266,47446.9985,47438.566
1641096900000,2022-01-02 04:15:00+00:00,47381.64,47382.48,47289.0,47305.86,91.68911,47440.85,47440.30239999999
1641097800000,2022-01-02 04:30:00+00:00,47305.87,47387.95,47112.66,47159.47,366.01707,47423.915,47434.925
1641098700000,2022-01-02 04:45:00+00:00,47159.47,47168.14,46770.23,46910.3,684.72936,47383.2975,47423.52199999999
1641099600000,2022-01-02 05:00:00+00:00,46910.3,47006.4,46832.08,46882.49,238.54018,47351.541000000005,47412.7364
1641100500000,2022-01-02 05:15:00+00:00,46882.49,46964.58,46850.0,46945.27,135.97,47321.5695,47406.269400000005
1641101400000,2022-01-02 05:30:00+00:00,46945.26,47071.32,46938.38,46969.69,138.54659,47288.1065,47400.7424
1641102300000,2022-01-02 05:45:00+00:00,46968.65,47089.63,46912.95,47081.28,173.147,47260.9055,47395.75899999999
